videoId,videoPublishedAt,position,snippet.title,snippet.description,snippet.thumbnails.standard.url,snippet.tags,contentDetails.duration,contentDetails.definition,contentDetails.caption,statistics.viewCount,statistics.likeCount,statistics.commentCount
xmvRcwUnUdk,2020-12-22T23:55:44Z,2267,"Ethio 360 Special Program ""የፋኖ ዓለም አቀፍ ማህበር ምን እየሰራ ነው ?"" Tuesday Dec 22, 2020","Ethio 360 Special Program ""የፋኖ ዓለም አቀፍ ማህበር ምን እየሰራ ነው ?"" Tuesday Dec 22, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/xmvRcwUnUdk/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H18M7S,hd,false,13536,670,79
ChM0gSDomBc,2020-12-22T21:50:35Z,2268,"Ethio 360 News Tuesday Dec 22, 2020","You can support us on Gofundme: https://gf.me/u/x3p56q
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/ChM0gSDomBc/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT17M39S,hd,false,15757,452,132
EkKTpMiHecU,2020-12-22T21:21:44Z,2269,"Ethio 360 Special Program ""ፍትህ ለፓለቲካ እስረኞች""  Tuesday Dec 22, 2020","Ethio 360 Special Program ""ፍትህ ለፓለቲካ እስረኞች""  Tuesday Dec 22, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/EkKTpMiHecU/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT53M11S,hd,false,7483,345,18
V9HLJJeEBWc,2020-12-22T19:22:25Z,2270,"Ethio 360 Zare Men Ale ""የጠቅላይ ሚንስትሩ  የመተከል ጉዞ እና የጀነራሉ ታሪክ  ወ-ፖለቲካ""  Tuesday Dec 22, 2020","Ethio 360 Zare Men Ale ""የጠቅላይ ሚንስትሩ  የመተከል ጉዞ እና የጀነራሉ ታሪክ  ወ-ፖለቲካ""  Tuesday Dec 22, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/V9HLJJeEBWc/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H40M3S,hd,false,95699,3106,373
MTzB4n1xD3E,2020-12-21T20:55:11Z,2271,"Ethio 360 Special Program ""አሁን ያለው የፌደራል ስርአት ሲፈተሽ"" Monday Dec 21, 2020","Ethio 360 Special Program ""አሁን ያለው የፌደራል ስርአት ሲፈተሽ"" Monday Dec 21, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/MTzB4n1xD3E/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H38M43S,hd,false,20258,541,99
sRjOjEEYKQI,2020-12-21T19:43:44Z,2272,Ethio 360 News Monday Dec 21 20,"You can support us on Gofundme: https://gf.me/u/x3p56q
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/sRjOjEEYKQI/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT13M10S,sd,false,19151,536,238
KGcBJZUk8Pw,2020-12-21T18:48:15Z,2273,"Ethio 360 Zare Min Ale ""የቀድሞ ጠቅላይ ሚኒስትር ጥልቅ እይታዎች"" Monday Dec 21, 2020","Ethio 360 Zare Min Ale ""የቀድሞ ጠቅላይ ሚኒስትር ጥልቅ እይታዎች"" Monday Dec 21, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/KGcBJZUk8Pw/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H35M35S,hd,false,86423,2751,454
slOPA_YUf3A,2020-12-20T20:38:08Z,2274,"Ethio 360 Special Program ""የፓለቲካ እስረኞች ጉዳይ""  Sunday Dec 20, 2020","Ethio 360 Special Program ""የፓለቲካ እስረኞች ጉዳይ""  Sunday Dec 20, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/slOPA_YUf3A/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT59M29S,hd,false,9214,402,26
fxd3xJ8pSi4,2020-12-20T19:03:46Z,2275,"Ethio 360 Zare Min Ale ""የኦሮሙማ ህንጻዎች በአዲስ አበባ""  Sunday Dec 20, 2020","Ethio 360 Zare Min Ale ""የኦሮሙማ ህንጻዎች በአዲስ አበባ""  Sunday Dec 20, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/fxd3xJ8pSi4/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H42M7S,hd,false,90652,3162,601
yoqDmTvueb4,2020-12-19T23:44:22Z,2276,Ethio 360  Biruk Yibas  Tereka  አዲስ አበባ ውስጥ አንድ ሰው 15 ዓመታት ተኝቶ ቢነቃ ያለበት ስፍራ አይጠፋውም  በወሰን ሰገድ መርሻ,"You can support us on Gofundme: https://gf.me/u/x3p56q
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/yoqDmTvueb4/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT14M54S,sd,false,8323,258,29
jK6TgtNhtOQ,2020-12-19T19:45:32Z,2277,"Ethio 360 Zare Men Ale "" አለባብሰው ቢያርሱ - - - የብልጽግና መግለጫ ""  Saturday Dec 19, 2020","Ethio 360 Zare Men Ale "" አለባብሰው ቢያርሱ - - - የብልጽግና መግለጫ ""  Saturday Dec 19, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/jK6TgtNhtOQ/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H45M43S,hd,false,78234,2679,360
fS_B75JQqcM,2020-12-18T23:28:02Z,2278,"Ethio 360 Special Program ""ዝክረ ተስፋዬ ገሰሰ""  Friday Dec 18, 2020","Ethio 360 Special Program ""ዝክረ ተስፋዬ ገሰሰ""  Friday Dec 18, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/fS_B75JQqcM/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT55M43S,hd,false,6418,284,18
s0dl95EqQCU,2020-12-18T20:52:25Z,2279,"Ethio 360 news Friday Dec 18, 2020","You can support us on Gofundme: https://gf.me/u/x3p56q
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/s0dl95EqQCU/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT12M50S,hd,false,35882,739,302
pSjOCvJo1co,2020-12-18T19:24:09Z,2280,"Ethio 360 Zare Min Ale "" ለምን የውጭ ጥቃት ተጋላጭ ሆንን ? "" Friday Dec 18, 2020","Ethio 360 Zare Min Ale "" ለምን የውጭ ጥቃት ተጋላጭ ሆንን ? "" Friday Dec 18, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/pSjOCvJo1co/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H35M38S,hd,false,98201,3561,869
-M3uoW3NAzY,2020-12-17T19:46:21Z,2281,"Ethio 360 News Thursday Dec 17, 2020","You can support us on Gofundme: https://gf.me/u/x3p56q
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/-M3uoW3NAzY/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT10M27S,hd,false,8337,310,52
MTJe_cVCYEo,2020-12-17T19:06:46Z,2282,"Ethio 360 Zare Min Ale ""13 ሚሊየን ካሬ ሜትር መሬት ወረራ?"" Thursday Dec 17, 2020","Ethio 360 Zare Min Ale ""13 ሚሊየን ካሬ ሜትር መሬት ወረራ?"" Thursday Dec 17, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/MTJe_cVCYEo/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H32M51S,hd,false,66966,2569,295
